SEGRADES,SEGRADEQ,SEENJOY,SEABSNT,SCCHOICE,SPUBCHOIX,SCONSIDR,EDCPUB,SCHLHRSWK,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,CDOBMM,CDOBYY,CSEX,ALLGRADEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,DSBLTY,HHPARN19X,NUMSIBSX,PARGRADEX,RACEETH,CENREG,ZIPLOCL,HDHEALTH,SEFUTUREX,INTACC,EINTNET,success_binary,engagement_count,homework_intensity,school_involvement,communication_index,enrichment_count,has_choice,child_age
1,1,2,1,2,3,2,1,4,4,2,1,1,1,3,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,7,2,2,1,2004,2,12,2,4,1,1,2,1,3,NA,52,1,8,2,1,2,1,1,3,4,4,11,1,6,1,4,1,3,3,1.75,2,3,0,15
5,3,3,1,2,3,2,1,4,4,7,2,2,1,4,4,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,5,2,2,8,2012,1,4,4,9,1,1,2,5,1,40,29,2,5,2,1,2,2,1,3,3,4,12,1,6,1,3,NA,1,4,1.75,1.3333333333333333,2,0,7
3,4,3,1,2,2,1,2,4,2,6,3,2,1,3,1,1,1,1,1,1,2,1,1,20,2,1,4,3,4,4,4,1,2,2,1,1,1,1,7,2,2,3,2005,1,11,2,3,1,1,2,5,1,35,33,2,3,2,4,2,2,1,5,2,2,11,2,5,3,3,0,7,2,1,3,3,0,14
1,1,1,1,1,1,1,1,4,3,5,1,1,1,4,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,12,2009,1,6,4,3,1,1,2,4,1,35,35,2,2,1,2,2,2,1,2,3,2,31,1,6,1,4,1,8,3.3333333333333335,1,1,7,1,10
1,1,2,1,2,3,2,1,4,3,5,3,1,1,4,3,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,2,2,5,2006,1,9,2,4,2,1,1,1,2,60,48,1,10,1,2,2,1,1,5,5,2,21,1,6,1,4,1,4,3.3333333333333335,1.75,1,3,0,13
5,1,1,1,1,2,2,1,4,3,3,1,1,1,4,3,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,1,2,2,2,1,1,1,7,2,1,5,2010,2,6,2,3,2,1,1,1,1,60,46,1,10,1,2,2,1,0,5,1,4,21,1,6,1,4,NA,4,3.3333333333333335,1.75,1,3,1,9
NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,5,2,1,4,2007,1,9,2,4,2,1,1,1,1,50,46,1,11,1,1,2,1,1,5,1,2,41,1,5,1,NA,NA,6,1.3333333333333333,1.25,1.6666666666666667,5,0,12
1,2,1,1,1,1,2,1,4,3,10,1,1,1,4,2,2,2,1,2,1,2,2,2,3,1,1,1,2,1,1,2,1,2,1,1,2,1,2,7,2,2,12,2007,2,8,2,5,1,1,2,1,3,NA,34,1,3,1,1,1,1,2,3,3,2,41,1,6,1,4,1,2,3,1.75,1.3333333333333333,3,1,12
5,3,1,1,1,1,1,1,4,3,2,1,1,1,4,3,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,2,1,2,1,7,1,2,3,2011,2,5,2,6,5,1,2,1,4,NA,32,1,12,1,2,1,1,1,4,1,3,41,1,5,1,4,NA,4,3.3333333333333335,1.75,1,5,1,8
1,1,2,1,1,1,2,1,4,4,10,1,1,1,3,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,7,1,2,4,2007,1,9,2,4,2,1,1,1,1,40,49,1,11,1,1,2,1,1,5,1,3,21,1,5,1,4,1,5,2.6666666666666665,1.5,1.3333333333333333,3,1,12
